company,ats,ingestion_method,confidence,career_url,tenant,site,board_token,niche,notes,linkedin_url,follow_status
Menasha,workday,workday_post,high,https://menasha.wd12.myworkdayjobs.com/MenashaCorp,menasha,MenashaCorp,,industrial,ORBIS parent; returnable/dunnage; Neenah WI HQ,https://www.linkedin.com/company/menasha-corporation/,pending
International Paper,oracle,oracle_ce,medium,https://iazbqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,,CX_1,,industrial,Oracle Cloud HCM; jobs.internationalpaper.com redirects here,,pending
Avery Dennison,unknown,none,low,https://www.averydennison.com/en/home/careers/search-jobs.html,,,,industrial,Springboard JS widget; no public JSON / not Workday,,pending
Amway,unknown,none,low,https://www.amway.com/careers,,,,cpg,MSU gap; Ada MI; verify ATS,,pending
Perrigo,unknown,none,low,https://www.perrigo.com/careers,,,,pharma,MSU gap; Allegan MI OTC/pharma packaging,https://www.linkedin.com/company/perrigo/,pending
Ford,unknown,none,low,https://corporate.ford.com/careers.html,,,,automotive,MSU auto dunnage expansion; electronics-packaging leak risk,,pending
Adient,unknown,none,low,https://www.adient.com/careers,,,,automotive,MSU auto returnable/dunnage expansion,,pending
CHEP,unknown,none,low,https://www.chep.com/careers,,,,industrial,VT unit-load/pallet gap,,pending
Eastman,unknown,none,low,https://www.eastman.com/careers,,,,industrial,VT radius materials; packaging R&D if titled,,pending
Altria,unknown,none,low,https://www.altria.com/careers,,,,cpg,VT/Richmond packaging R&D,,pending
Colgate-Palmolive,successfactors,successfactors,medium,https://jobs.colgate.com,,,,cpg,SF RMK; packaging search currently operators only; skip ingest until engineer titles,,pending
Green Bay Packaging,unknown,none,low,https://www.gbp.com/careers,,,,industrial,Stout corrugated; classifier on,,pending
Sargento,unknown,none,low,https://www.sargento.com/careers,,,,food-beverage,Stout Wisconsin CPG,,pending
Constellation Brands,unknown,none,low,https://www.cbrands.com/careers,,,,food-beverage,RIT gap; Victor NY package-dev,,pending
LiDestri,unknown,none,low,https://lidestri.com/careers,,,,food-beverage,RIT Finger Lakes food packaging,,pending
Wegmans,unknown,none,low,https://jobs.wegmans.com,,,,food-beverage,RIT; brand packaging only not store ops,,pending
E&J Gallo,unknown,none,low,https://careers.gallo.com,,,,food-beverage,Cal Poly gap; Modesto wine/spirits package-dev,,pending
The Wonderful Company,unknown,none,low,https://www.wonderful.com/careers,,,,food-beverage,Cal Poly Central Valley food CPG,,pending
Driscoll's,unknown,none,low,https://www.driscolls.com/careers,,,,food-beverage,Cal Poly produce packaging,,pending
ISOFlex,unknown,none,low,https://www.isoflexpackaging.com/careers,,,,industrial,Clemson flexibles; classifier on,,pending
Smithers,unknown,none,low,https://www.smithers.com/careers,,,,industrial,ISTA/distribution lab; Akron OH + Lansing MI; MSU-adjacent,,pending
TEN-E Packaging Services,unknown,none,low,https://www.ten-e.com/careers,,,,industrial,ISTA/DG/medical lab; Newport MN + NC; Stout/Twin Cities,,pending
Westpak,unknown,none,low,https://westpak.com/careers,,,,industrial,ISTA/medical/APASS lab; San Jose + San Diego; Cal Poly,,pending
Packaging Compliance Labs,unknown,none,low,https://pkgcompliance.com/careers-internships/,,,,pharma,Medical ISO 11607 lab; Grand Rapids; MSU intern pipeline,,pending
DDL,unknown,none,low,https://www.ddltesting.com/careers,,,,pharma,Medical device package validation; Eden Prairie MN / Fountain Valley CA,,pending
Gaynes Labs,unknown,none,low,https://go.gaynestesting.com,,,,industrial,Independent ISTA lab; Bridgeview IL,,pending
Purple Diamond,unknown,none,low,https://purple-diamond.com/careers,,,,industrial,ISTA/cold-chain/e-comm lab; Bethlehem PA; Rutgers,,pending
Advanced Packaging Technology Laboratories,unknown,none,low,https://advanced-labs.com/careers,,,,industrial,ISTA/APASS lab; Buffalo Grove IL,,pending
Applus+ Keystone,unknown,none,low,https://keystonecompliance.com/careers,,,,industrial,ISTA/APASS; New Castle PA + Durham NC; ex-Keystone Compliance,,pending
Modality Solutions,unknown,none,low,https://www.modality-solutions.com/careers,,,,pharma,Pharma cold-chain transport simulation; Bloomington IN,,pending
Nelson Labs,unknown,none,low,https://www.nelsonlabs.com/careers,,,,pharma,Sterile barrier / ISO 11607; keyword packaging only,,pending
Intertek,unknown,none,low,https://www.intertek.com/careers,,,,industrial,TIC with packaging practice; do not ingest whole board,,pending
SGS,unknown,none,low,https://www.sgs.com/careers,,,,industrial,TIC with packaging practice; do not ingest whole board,,pending
Element Materials Technology,unknown,none,low,https://www.element.com/careers,,,,industrial,TIC with packaging practice; do not ingest whole board,,pending
Abbott,workday,workday_post,high,https://abbott.wd5.myworkdayjobs.com/abbottcareers,abbott,,,pharma,Live packaging board employer,https://www.linkedin.com/company/abbott-/,pending
Baxter,workday,workday_post,high,https://baxter.wd1.myworkdayjobs.com/baxter,baxter,,,pharma,Live packaging board employer,https://www.linkedin.com/company/baxter-healthcare/,pending
Thermo Fisher Scientific,workday,workday_post,high,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers,thermofisher,ThermoFisherCareers,,pharma,Live packaging board employer,https://www.linkedin.com/company/thermo-fisher-scientific/,pending
BD,workday,workday_post,high,https://bdx.wd1.myworkdayjobs.com/EXTERNAL_CAREER_SITE_USA,bdx,,,pharma,Becton Dickinson; live packaging board employer,https://www.linkedin.com/company/bdcompany/,pending
Edwards Lifesciences,workday,workday_post,high,https://edwards.wd5.myworkdayjobs.com/EdwardsCareers,edwards,EdwardsCareers,,pharma,Live packaging board employer,https://www.linkedin.com/company/edwards-lifesciences/,pending
Stryker,workday,workday_post,high,https://stryker.wd1.myworkdayjobs.com/StrykerCareers,stryker,StrykerCareers,,pharma,Live packaging board employer,https://www.linkedin.com/company/stryker/,pending
Tyson Foods,workday,workday_post,high,https://tyson.wd5.myworkdayjobs.com/Tyson,tyson,,,food-beverage,Live packaging board employer,https://www.linkedin.com/company/tyson-foods/,pending
Zimmer Biomet,workday,workday_post,high,https://zimmerbiomet.wd5.myworkdayjobs.com/zimmerbiometcareers,zimmerbiomet,,,pharma,Live packaging board employer,https://www.linkedin.com/company/zimmerbiomet/,pending
The Hershey Company,successfactors,successfactors,high,https://careers.thehersheycompany.com,,,,food-beverage,Live packaging board employer,https://www.linkedin.com/company/the-hershey-company/,pending
